,Date,Price,Open,High,Low,Vol.,Change
0,Apr-28-2023,29177.5,29655.0,29705.0,28890.0,0.85K,-1.73%
1,Apr-27-2023,29690.0,28670.0,29920.0,28210.0,11.29K,6.42%
2,Apr-26-2023,27900.0,28320.0,30050.0,27250.0,14.87K,1.07%
3,Apr-25-2023,27605.0,27450.0,28070.0,27195.0,7.93K,0.75%
4,Apr-24-2023,27400.0,27425.0,28010.0,26980.0,7.46K,-1.31%
5,Apr-23-2023,27765.0,29422.5,29422.5,27575.0,-,1.67%
6,Apr-21-2023,27310.0,28240.0,28360.0,27195.0,6.27K,-2.79%
7,Apr-20-2023,28095.0,29195.0,29255.0,27985.0,7.61K,-4.00%
8,Apr-19-2023,29265.0,30435.0,30520.0,29010.0,7.62K,-3.50%
9,Apr-18-2023,30325.0,29555.0,30590.0,29145.0,5.58K,2.62%
10,Apr-17-2023,29550.0,30585.0,30585.0,29285.0,6.90K,-3.45%
11,Apr-16-2023,30605.0,31225.0,31225.0,30585.0,-,0.44%
12,Apr-14-2023,30470.0,30445.0,31200.0,30065.0,7.29K,-0.20%
13,Apr-13-2023,30530.0,30035.0,30900.0,29940.0,5.87K,2.02%
14,Apr-12-2023,29925.0,30365.0,30710.0,29800.0,5.86K,-1.32%
15,Apr-11-2023,30325.0,29445.0,30775.0,29435.0,8.51K,3.08%
16,Apr-10-2023,29420.0,28505.0,29670.0,28265.0,9.75K,2.71%
17,Apr-09-2023,28645.0,27575.0,28822.5,27575.0,-,2.14%
18,Apr-07-2023,28045.0,28302.5,28372.5,28020.0,-,-0.34%
19,Apr-06-2023,28140.0,28350.0,28350.0,27765.0,5.24K,-0.86%
20,Apr-05-2023,28385.0,28390.0,28985.0,27935.0,8.24K,0.04%
21,Apr-04-2023,28375.0,27930.0,28650.0,27855.0,7.00K,0.67%
22,Apr-03-2023,28185.0,28575.0,28885.0,24650.0,-,-1.36%
23,Apr-02-2023,28575.0,28405.0,28597.5,28395.0,-,0.35%
24,Mar-31-2023,28476.5,28090.0,28625.0,27620.0,0.87K,1.83%
25,Mar-30-2023,27965.0,28355.0,29220.0,27680.0,9.73K,-1.67%
26,Mar-29-2023,28440.0,27170.0,28685.0,27170.0,9.85K,3.59%
27,Mar-28-2023,27455.0,27175.0,27545.0,26650.0,9.90K,1.76%
28,Mar-27-2023,26980.0,27960.0,28240.0,26520.0,11.15K,-3.83%
29,Mar-26-2023,28055.0,27800.0,28235.0,27800.0,-,0.50%
30,Mar-24-2023,27915.0,28385.0,28570.0,27480.0,5.85K,-2.22%
31,Mar-23-2023,28550.0,27200.0,28935.0,27075.0,11.42K,6.53%
32,Mar-22-2023,26800.0,28210.0,29045.0,26700.0,10.98K,-5.33%
33,Mar-21-2023,28310.0,28150.0,28680.0,27555.0,6.29K,1.31%
34,Mar-20-2023,27945.0,28095.0,28715.0,27320.0,9.81K,-0.73%
35,Mar-19-2023,28150.0,26235.0,28490.0,26235.0,-,4.26%
36,Mar-17-2023,27000.0,25040.0,27155.0,25000.0,12.87K,7.61%
37,Mar-16-2023,25090.0,24610.0,25300.0,24250.0,6.50K,2.45%
38,Mar-15-2023,24490.0,24655.0,25440.0,24005.0,13.89K,-2.97%
39,Mar-14-2023,25240.0,24230.0,26615.0,24030.0,16.27K,3.42%
40,Mar-13-2023,24405.0,21250.0,24620.0,21110.0,28.14K,10.78%
41,Mar-12-2023,22030.0,19970.0,22182.5,19970.0,-,10.34%
42,Mar-10-2023,19965.0,20300.0,20330.0,19520.0,13.50K,-0.50%
43,Mar-09-2023,20065.0,21800.0,21850.0,19960.0,14.04K,-9.27%
