,Date,Price,Open,High,Low,Vol.,Change
0,04/28/2023,29311.7,29485.6,29584.5,28919.4,54.30K,-0.55%
1,04/27/2023,29472.8,28407.7,29854.8,28390.6,95.44K,+3.70%
2,04/26/2023,28420.3,28302.8,29996.2,27302.3,129.23K,+0.43%
3,04/25/2023,28297.8,27510.9,28373.7,27200.0,52.32K,+2.87%
4,04/24/2023,27508.7,27583.9,27977.2,27058.8,53.11K,-0.30%
5,04/23/2023,27590.6,27814.6,27814.6,27387.2,34.82K,-0.80%
6,04/22/2023,27812.9,27263.0,27870.0,27171.2,36.05K,+2.02%
7,04/21/2023,27262.8,28240.4,28354.1,27171.1,77.68K,-3.46%
8,04/20/2023,28240.4,28796.0,29078.9,28036.5,76.90K,-1.97%
9,04/19/2023,28809.1,30371.7,30404.7,28632.5,86.56K,-5.17%
10,04/18/2023,30380.0,29430.0,30469.0,29149.7,62.00K,+3.23%
11,04/17/2023,29430.3,30305.3,30309.7,29271.0,56.44K,-2.89%
12,04/16/2023,30307.4,30290.7,30542.3,30130.0,26.43K,+0.04%
13,04/15/2023,30295.1,30465.9,30579.9,30202.0,25.43K,-0.57%
14,04/14/2023,30467.8,30375.0,30957.7,30021.7,75.99K,+0.29%
15,04/13/2023,30380.8,29888.1,30514.5,29859.8,51.94K,+1.67%
16,04/12/2023,29880.4,30208.7,30473.6,29675.3,62.04K,-1.07%
17,04/11/2023,30203.8,29659.3,30469.6,29594.4,67.99K,+1.91%
18,04/10/2023,29637.5,28333.9,29748.6,28182.3,67.75K,+4.64%
19,04/09/2023,28323.8,27938.4,28520.5,27805.1,32.53K,+1.38%
20,04/08/2023,27938.4,27906.3,28150.0,27859.1,19.48K,+0.11%
21,04/07/2023,27906.3,28033.8,28098.9,27771.8,24.76K,-0.45%
22,04/06/2023,28032.7,28170.0,28170.0,27730.0,40.12K,-0.49%
23,04/05/2023,28172.0,28167.9,28734.8,27822.0,60.74K,+0.04%
24,04/04/2023,28161.7,27805.6,28430.3,27665.9,49.72K,+1.30%
25,04/03/2023,27800.0,28171.6,28454.4,27259.6,79.17K,-1.41%
26,04/02/2023,28196.3,28453.4,28523.5,27866.0,37.34K,-0.90%
27,04/01/2023,28452.7,28476.8,28794.1,28282.2,30.24K,-0.07%
28,03/31/2023,28473.1,28026.0,28647.9,27586.7,78.20K,+1.59%
29,03/30/2023,28028.5,28350.0,29158.7,27713.0,98.86K,-1.13%
30,03/29/2023,28348.6,27284.8,28628.0,27248.1,89.49K,+3.99%
31,03/28/2023,27261.1,27124.9,27458.7,26661.1,78.62K,+0.49%
32,03/27/2023,27126.9,27958.0,28019.3,26602.1,88.04K,-3.01%
33,03/26/2023,27970.2,27461.6,28148.6,27426.1,49.68K,+1.82%
34,03/25/2023,27471.0,27458.2,27756.8,27167.9,50.85K,+0.06%
35,03/24/2023,27454.2,28305.4,28362.7,27019.1,86.26K,-2.97%
36,03/23/2023,28295.4,27244.5,28729.5,27136.5,128.65K,+3.83%
37,03/22/2023,27251.7,28105.9,28753.6,26660.3,224.12K,-3.05%
38,03/21/2023,28110.2,27722.7,28435.4,27347.0,420.94K,+1.43%
39,03/20/2023,27714.9,27986.0,28453.6,27152.9,477.43K,-0.86%
40,03/19/2023,27955.5,26921.4,28344.4,26842.0,372.05K,+3.88%
41,03/18/2023,26911.1,27410.8,27654.0,26689.3,371.30K,-1.74%
42,03/17/2023,27388.8,24991.3,27741.3,24897.3,624.42K,+9.55%
43,03/16/2023,25001.5,24280.5,25135.5,24142.9,439.41K,+2.98%
44,03/15/2023,24277.9,24687.1,25101.7,23931.3,581.55K,-1.68%
45,03/14/2023,24693.6,24139.7,26359.3,23988.7,699.35K,+2.40%
46,03/13/2023,24115.8,22100.4,24399.5,21855.8,687.88K,+9.69%
47,03/12/2023,21984.6,20450.1,22018.8,20287.1,430.94K,+7.47%
48,03/11/2023,20456.8,20150.6,20656.3,19789.5,427.83K,+1.51%
49,03/10/2023,20152.4,20361.8,20361.8,19592.2,618.51K,-1.03%
50,03/09/2023,20361.8,21700.0,21826.9,20079.3,443.66K,-6.22%
51,03/08/2023,21711.2,22194.1,22274.2,21661.4,301.42K,-2.19%
52,03/07/2023,22197.7,22416.8,22534.3,21967.3,292.53K,-0.95%
53,03/06/2023,22410.3,22428.1,22595.7,22320.1,203.75K,-0.08%
54,03/05/2023,22428.3,22341.4,22636.5,22212.4,154.85K,+0.36%
55,03/04/2023,22347.1,22339.1,22403.7,22167.1,121.26K,-0.03%
56,03/03/2023,22354.6,23470.6,23473.3,22051.8,319.95K,-4.73%
57,03/02/2023,23465.5,23629.3,23780.2,23208.6,239.33K,-0.75%
58,03/01/2023,23642.4,23139.7,23914.2,23024.6,315.25K,+2.21%
59,02/28/2023,23130.5,23476.3,23594.9,23033.5,264.15K,-1.55%
60,02/27/2023,23494.1,23564.0,23875.8,23168.2,283.72K,-0.27%
61,02/26/2023,23558.7,23163.4,23671.6,23065.9,202.29K,+1.70%
62,02/25/2023,23166.0,23184.1,23215.1,22774.8,191.30K,-0.11%
63,02/24/2023,23191.4,23961.3,24123.0,22973.7,343.60K,-3.11%
64,02/23/2023,23936.1,24187.8,24590.0,23638.5,398.39K,-1.04%
65,02/22/2023,24186.8,24443.6,24474.5,23593.1,379.52K,-1.08%
66,02/21/2023,24450.6,24845.7,25240.3,24160.5,375.92K,-1.57%
67,02/20/2023,24839.5,24269.0,25084.5,23868.8,347.02K,+2.21%
68,02/19/2023,24303.2,24623.5,25175.1,24273.9,300.20K,-1.33%
69,02/18/2023,24631.2,24565.9,24838.0,24457.2,216.95K,+0.23%
70,02/17/2023,24573.6,23527.6,24983.5,23372.0,496.88K,+4.40%
71,02/16/2023,23538.5,24348.6,25233.9,23524.0,449.85K,-3.24%
72,02/15/2023,24327.8,22193.2,24330.4,22050.2,375.74K,+9.59%
73,02/14/2023,22198.0,21776.3,22309.4,21554.6,362.07K,+1.96%
74,02/13/2023,21771.9,21776.3,21887.4,21418.6,295.71K,-0.05%
75,02/12/2023,21782.4,21863.3,22080.7,21653.0,204.43K,-0.35%
76,02/11/2023,21859.7,21627.0,21902.9,21605.1,177.02K,+1.08%
77,02/10/2023,21626.9,21798.2,21933.6,21492.1,338.59K,-0.76%
78,02/09/2023,21792.3,22972.9,23003.5,21745.1,402.86K,-5.10%
79,02/08/2023,22964.5,23254.5,23425.8,22691.7,280.07K,-1.23%
80,02/07/2023,23251.7,22748.1,23338.9,22748.1,307.98K,+2.15%
