,Date,Price,Open,High,Low,Vol.,Change
0,04/28/2023,4188.5,4151.0,4193.75,4131.5,1.75M,+0.84%
1,04/27/2023,4153.75,4085.5,4166.5,4080.75,1.69M,+1.91%
2,04/26/2023,4076.0,4110.25,4116.25,4068.75,1.81M,-0.42%
3,04/25/2023,4093.25,4157.25,4158.5,4091.5,1.77M,-1.59%
4,04/24/2023,4159.5,4150.0,4164.25,4133.5,1.33M,+0.07%
5,04/21/2023,4156.75,4153.75,4161.0,4135.25,1.65M,+0.10%
6,04/20/2023,4152.5,4172.25,4173.5,4137.0,1.77M,-0.62%
7,04/19/2023,4178.5,4176.0,4187.5,4150.5,1.29M,-0.04%
8,04/18/2023,4180.0,4177.0,4198.25,4164.5,1.43M,+0.08%
9,04/17/2023,4176.75,4174.25,4180.5,4148.0,1.30M,+0.31%
10,04/14/2023,4163.75,4168.75,4189.0,4138.0,1.88M,-0.22%
11,04/13/2023,4172.75,4117.5,4177.0,4110.25,1.46M,+1.30%
12,04/12/2023,4119.0,4137.5,4177.75,4113.5,1.85M,-0.42%
13,04/11/2023,4136.5,4138.5,4151.75,4128.75,1.22M,+0.01%
14,04/10/2023,4136.25,4139.0,4143.0,4098.75,1.17M,+0.10%
15,04/07/2023,4132.0,4129.0,4146.75,4121.0,73.01K,0.00%
16,04/06/2023,4132.0,4113.75,4135.25,4096.5,1.30M,+0.36%
17,04/05/2023,4117.25,4134.0,4135.5,4099.0,1.47M,-0.28%
18,04/04/2023,4129.0,4152.5,4171.75,4115.25,1.58M,-0.60%
19,04/03/2023,4153.75,4127.0,4157.75,4122.75,1.38M,+0.39%
20,03/31/2023,4137.75,4081.0,4142.5,4078.0,1.70M,+1.42%
21,03/30/2023,4080.0,4058.0,4087.75,4052.5,1.33M,+0.55%
22,03/29/2023,4057.5,4006.5,4061.25,4006.0,1.39M,+1.40%
23,03/28/2023,4001.5,4013.5,4023.75,3980.75,1.22M,-0.14%
24,03/27/2023,4007.25,4008.0,4034.25,3997.5,1.30M,+0.15%
25,03/24/2023,4001.25,3988.75,4010.75,3937.0,1.94M,+0.58%
26,03/23/2023,3978.0,3972.75,4039.5,3948.5,2.24M,+0.19%
27,03/22/2023,3970.5,4038.75,4073.75,3966.25,1.80M,-1.62%
28,03/21/2023,4035.75,3986.5,4043.25,3981.75,1.53M,+1.32%
29,03/20/2023,3983.0,3963.75,3989.5,3897.25,1.82M,+0.66%
30,03/17/2023,3957.05,3962.25,3974.0,3923.0,38.53K,-0.09%
31,03/16/2023,3960.5,3892.75,3966.5,3863.25,466.91K,+1.74%
32,03/15/2023,3892.75,3920.5,3931.0,3834.0,833.64K,-0.71%
33,03/14/2023,3920.5,3865.75,3938.0,3855.25,1.61M,+1.65%
34,03/13/2023,3856.75,3887.75,3938.75,3808.75,2.75M,-1.05%
35,03/10/2023,3897.5,3955.0,3978.25,3881.0,1.82M,-1.48%
36,03/09/2023,3956.25,4038.0,4057.5,3945.75,377.13K,-1.90%
37,03/08/2023,4032.75,4027.25,4041.0,4009.25,79.80K,+0.14%
38,03/07/2023,4027.0,4090.0,4101.5,4019.75,69.78K,-1.53%
39,03/06/2023,4089.75,4086.75,4119.5,4079.25,31.64K,+0.99%
40,03/03/2023,4049.75,3983.0,4053.0,3974.0,1.67M,+1.63%
41,03/02/2023,3984.75,3959.75,3995.25,3925.0,1.84M,+0.71%
42,03/01/2023,3956.5,3968.5,3991.0,3943.0,2.04M,-0.48%
43,02/28/2023,3975.5,3991.5,4003.75,3965.0,1.85M,-0.31%
